Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
113 South Poplar Street	922116126024.00	6/29/2012	Class B	Issued		"113 South Poplar Street
Urbana, IL
(-88.1949, 40.1119)"
1004 West Main Street	912107481020.00	10/30/2009	Class B	Issued		"1004 West Main Street
Urbana, IL
(-88.221, 40.1147)"
906 East Harding Drive Unit 202	932121152033.00	3/28/2017	Class B	Issued	10/14/2022	"906 East Harding Drive
Urbana, IL
(40.094006, -88.196106)"
1401 East Scovill Street	932121381011.00	3/27/2017	Class B	Expired	10/14/2020	"1401 East Scovill Street
Urbana, IL
(40.0858039856, -88.1914596558)"
508 West High Street	922117128011.00	5/22/2008	Class B	Issued	10/14/2022	"508 West High Street
Urbana, IL
(-88.2138, 40.11)"
1009 North Coler Avenue	912108153033.00	2/13/2012	Class B	Expired	10/14/2022	"1009 North Coler Avenue
Urbana, IL
(-88.2161, 40.1217)"
811 Clark Street	912108353006.00	5/17/2011	Class B	Issued		"811 Clark Street
Urbana, IL
(-88.2186, 40.1153)"
309 South Coler Avenue	922117107015.00	8/27/2007	Class B	Issued		"309 South Coler Avenue
Urbana, IL
(-88.2163, 40.1101)"
1305 Ellis Drive	912107254003.00	10/28/2011	Class B	Issued	10/14/2022	"1305 Ellis Drive
Urbana, IL
(-88.2264, 40.1238)"
2208 Easy Street	912115301007.00	3/5/2015	Class C	Issued		"2208 Easy Street
Urbana, IL
(-88.1789, 40.1052)"
1707 James Cherry Drive	922116461014.00	5/13/2013	Class B	Issued	10/14/2021	"1707 James Cherry Drive
Urbana, IL
(-88.1857, 40.0987)"
1303 Bradley Avenue	912107203006.00	8/12/2011	Class B	Issued	10/14/2022	"1303 Bradley Avenue
Urbana, IL
(-88.227, 40.1271)"
1002 South Lierman Avenue Unit A	922116402047.00	7/21/2014	Class B	Issued	10/14/2022	"1002 South Lierman Avenue
Unit A Urbana, IL
(-88.1887, 40.1047)"
908 North Broadway Avenue Unit 510	912108257108.00	2/4/2008	Class B	Expired	10/14/2022	"908 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1211)"
1403 South Busey Avenue	932117352007.00	11/19/2019	Class A	Issued	10/14/2022	"1403 South Busey Avenue
Urbana, IL
(40.1000556946, -88.2177963257)"
906 1/2 East Washington Street	922116163028.00	12/10/2012	Class B	Issued	10/14/2022	"906 1 2 East Washington Street
Urbana, IL
(-88.1973, 40.1059)"
1514 Fairlawn Drive	922116455112.00	3/28/2016	Class B	Issued	10/14/2022	"1514 Fairlawn Drive
Urbana, IL
(-88.1894, 40.1019)"
705 South Race Street	922117259008.00	7/7/2009	Class B	Expired	10/14/2022	"705 South Race Street
Urbana, IL
(-88.209, 40.1072)"
202 West Florida Avenue	932117383020.00	2/14/2020	Class A	Issued	10/14/2022	"202 West Florida Avenue
Urbana, IL
(40.098476, -88.209854)"
1005 East Pennsylvania Avenue	922116353008.00	5/16/2016	Class B	Expired		"1005 East Pennsylvania Avenue
Urbana, IL
(-88.1961, 40.0998)"
3 Buena Vista Court	922117110008.00	4/25/2019	Class B	Issued	10/14/2022	"3 Buena Vista Court
Urbana, IL
(40.11195, -88.21486)"
407 West Green Street	922117133002.00	5/7/2013	Class B	Issued	10/14/2022	"407 West Green Street
Urbana, IL
(-88.2126, 40.1104)"
312 South Cottage Grove Avenue	922116130006.00	6/7/2012	Class B	Expired	10/14/2022	"312 South Cottage Grove Avenue
Urbana, IL
(-88.1954, 40.1101)"
1209 South Race Street	932117332022.00	1/31/2020	Class B	Issued	10/14/2022	"1209 South Race Street
Urbana, IL
(40.10211, -88.20995)"
1009 Clark Street	912107481002.00	3/31/2009	Class B	Issued	10/14/2022	"1009 Clark Street
Urbana, IL
(-88.2219, 40.1152)"
602 South Lincoln Avenue	922117152001.00	6/28/2018	Class B	Issued	10/14/2022	"602 South Lincoln Avenue
Urbana, IL
(40.1080818176, -88.2189865112)"
310 South Cottage Grove Avenue	922116130005.00	7/16/2012	Class C	Issued	10/14/2022	"310 South Cottage Grove Avenue
Urbana, IL
(-88.1954, 40.1102)"
512 West High Street	922117128009.00	4/17/2008	Class B	Issued	10/14/2022	"512 West High Street
Urbana, IL
(-88.2142, 40.11)"
801 West Stoughton Street Unit B	912108355011.00	12/16/2021	Class B	Issued	10/14/2022	"801 West Stoughton Street
Unit B Urbana, IL
(40.1132354736, -88.2181167603)"
804 Sunny Lane	912115181013.00	3/26/2015	Class B	Issued	10/14/2022	"804 Sunny Lane
Urbana, IL
(-88.1722, 40.1062)"
1302 Silver Street	932121181018.00	2/25/2013	Class F	Expired		"1302 Silver Street
Urbana, IL
(-88.1928, 40.0917)"
1004 South Lierman Avenue Unit A	922116402051.00	7/21/2014	Class B	Issued	10/14/2022	"1004 South Lierman Avenue
Unit A Urbana, IL
(-88.1887, 40.1047)"
1403 Wiley Drive	922116352004.00	6/22/2016	Class B	Issued	10/14/2022	"1403 Wiley Drive
Urbana, IL
(-88.1982, 40.1002)"
1205 Tremont Street	912107208014.00	10/17/2011	Class B	Issued	10/14/2022	"1205 Tremont Street
Urbana, IL
(-88.2249, 40.1246)"
810 Clark Street	912108352008.00	8/24/2010	Class B	Issued	10/14/2022	"810 Clark Street
Urbana, IL
(-88.2186, 40.1157)"
1615 Ivanhoe Way	922116454018.00	12/23/2014	Class B	Issued		"1615 Ivanhoe Way
Urbana, IL
(-88.188, 40.1014)"
1909 East Florida Avenue Unit B	922116481048.00	1/16/2015	Class B	Issued	10/14/2022	"1909 East Florida Avenue
Unit B Urbana, IL
(-88.1829, 40.0986)"
707 West California Avenue	922117156004.00	7/18/2018	Class C	Issued	10/14/2022	"707 West California Avenue
Urbana, IL
(40.1080207825, -88.2167739868)"
904 North Broadway Avenue Unit 19	912108257032.00	2/4/2008	Class B	Issued	10/14/2022	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
1704 East Trails Drive Unit B	932128253015.00	2/12/2018	Class B	Issued	10/14/2022	"1704 East Trails Drive
Unit B Urbana, IL
(40.077232, -88.18601)"
806 Clark Street	912108352010.00	8/24/2010	Class B	Issued	10/14/2022	"806 Clark Street
Urbana, IL
(-88.2181, 40.1157)"
808 Clark Street	912108352009.00	5/29/2008	Class B	Issued	10/14/2022	"808 Clark Street
Urbana, IL
(-88.2184, 40.1157)"
706 North Coler Avenue	912108308008.00	8/3/2010	Class B	Issued	10/14/2022	"706 North Coler Avenue
Urbana, IL
(-88.2154, 40.1188)"
204 North Lincoln Avenue	912108354022.00	8/6/2010	Class B	Expired	10/14/2022	"204 North Lincoln Avenue
Urbana, IL
(-88.2191, 40.114)"
610 Stoughton Street	912108363011.00	5/14/2008	Class B	Issued	10/14/2022	"610 Stoughton Street
Urbana, IL
(-88.2155, 40.1133)"
1110 East Scovill Street	932121376025.00	4/11/2017	Class B	Issued	10/14/2022	"1110 East Scovill Street
Urbana, IL
(40.086094, -88.19452)"
102 South Cottage Grove Avenue	922116126002.00	4/9/2012	Class B	Issued	10/14/2022	"102 South Cottage Grove Avenue
Urbana, IL
(-88.1956, 40.1127)"
502 West Green Street Unit 112	922117127021.00	2/28/2019	Class B	Issued	10/14/2022	"502 West Green Street
Urbana, IL
(40.1112937927, -88.2134933472)"
1122 Austin Drive	922116404013.00	7/16/2014	Class B	Issued	10/14/2022	"1122 Austin Drive
Urbana, IL
(-88.1872, 40.1019)"
804 South Race Street	922117261009.00	6/4/2009	Class B	Issued		"804 South Race Street
Urbana, IL
(-88.2084, 40.1063)"
506 North Race Street	912108403004.00	11/22/2010	Class B	Issued	10/14/2022	"506 North Race Street
Urbana, IL
(-88.2086, 40.1169)"
1101 East Scovill Street	932121378001.00	4/19/2017	Class B	Issued	10/14/2022	"1101 East Scovill Street
Urbana, IL
(40.085655, -88.1952)"
1203 Tremont Street	912107208015.00	10/17/2011	Class B	Issued		"1203 Tremont Street
Urbana, IL
(-88.2247, 40.1246)"
1005 East Willard Street	932121380002.00	2/23/2017	Class B	Issued	10/14/2022	"1005 East Willard Street
Urbana, IL
(40.08406, -88.195984)"
602 West Vermont Avenue	932117356025.00	1/6/2020	Class B	Issued	10/14/2022	"602 West Vermont Avenue
Urbana, IL
(40.100086, -88.21456)"
1008 East Main Street	912109355018.00	2/23/2012	Class B	Issued		"1008 East Main Street
Urbana, IL
(-88.1961, 40.1132)"
1202 1/2 North Busey Avenue	912108153005.00	12/13/2010	Class B	Issued	10/14/2022	"1202 1 2 North Busey Avenue
Urbana, IL
(-88.2166, 40.1229)"
1403 East Pennsylvania Avenue	922116382011.00	4/12/2016	Class B	Issued	10/14/2022	"1403 East Pennsylvania Avenue
Urbana, IL
(-88.192, 40.099)"
907 East California Avenue	922116159002.00	12/3/2012	Class B	Issued	10/14/2021	"907 East California Avenue
Urbana, IL
(-88.197, 40.1083)"
901 East Mumford Drive	932121306001.00	3/14/2017	Class B	Issued	10/14/2022	"901 East Mumford Drive
Urbana, IL
(40.090435, -88.19668)"
111 South Lincoln Avenue	932118228022.00	2/2/2009	Class B	Issued	10/14/2022	"111 South Lincoln Avenue
Urbana, IL
(-88.2197, 40.1115)"
1010 Stoughton Street	912107482021.00	1/14/2009	Class B	Expired		"1010 Stoughton Street
Urbana, IL
(-88.2217, 40.1138)"
905 South Lynn Street	922116302018.00	7/10/2012	Class B	Issued	10/14/2022	"905 South Lynn Street
Urbana, IL
(-88.1982, 40.1052)"
212 North Central Avenue	912108383001.00	10/15/2021	Class B	Issued	10/14/2022	"212 North Central Avenue
Urbana, IL
(40.114276886, -88.211151123)"
408 West Illinois Street	922117134010.00	6/2/2008	Class B	Issued	10/14/2021	"408 West Illinois Street
Urbana, IL
(-88.2125, 40.1093)"
712 West Washington Street	922117158011.00	2/20/2019	Class B	Issued	10/14/2022	"712 West Washington Street
Urbana, IL
(40.1057357788, -88.2172317505)"
706 Church Street	912108305019.00	3/19/2014	Class C	Issued	10/14/2022	"706 Church Street
Urbana, IL
(-88.2163, 40.1186)"
706 Anderson Street	922116161007.00	5/23/2012	Class B	Issued	10/14/2022	"706 Anderson Street
Urbana, IL
(-88.2, 40.1071)"
605 South Broadway Avenue Apt D	922117256017.00	10/28/2019	Class B	Issued	10/14/2022	"605 South Broadway Avenue
Apt D Urbana, IL
(40.1079139709, -88.2077178955)"
502 West Green Street Unit 303	922117127038.00	2/28/2019	Class A	Issued	10/14/2022	"502 West Green Street
Urbana, IL
(40.1108360291, -88.2136077881)"
201 South Cottage Grove Avenue	922116104032.00	4/9/2012	Class B	Issued		"201 South Cottage Grove Avenue
Urbana, IL
(-88.1961, 40.1118)"
1309 Philo Road	922116377014.00	2/15/2016	Class B	Expired		"1309 Philo Road
Urbana, IL
(-88.1908, 40.1012)"
808 South Lincoln Avenue	922117154009.00	1/29/2013	Class B	Issued	10/14/2022	"808 South Lincoln Avenue
Urbana, IL
(-88.2188, 40.1057)"
608 East Colorado Avenue	932120229023.00	10/12/2017	Class B	Issued	10/14/2022	"608 East Colorado Avenue
Urbana, IL
(40.09497, -88.20019)"
707 West Washington Street	932117305005.00	7/24/2007	Class B	Issued	10/14/2021	"707 West Washington Street
Urbana, IL
(-88.2167, 40.1053)"
1001 East Washington Street	922116304001.00	12/11/2012	Class B	Issued	10/14/2022	"1001 East Washington Street
Urbana, IL
(-88.1964, 40.1054)"
1403 East McHenry Street	932121377007.00	4/17/2017	Class B	Issued	10/14/2022	"1403 East McHenry Street
Urbana, IL
(40.087600708, -88.1912460327)"
3030 East Stillwater Landing Unit 103	932122406019.00	11/21/2017	Class B	Issued	10/14/2022	"3030 East Stillwater Landing
Urbana, IL
(40.090717, -88.16674)"
2412 North Somerset Drive	912103126029.00	10/29/2021	Class A	Issued	10/14/2022	"2412 North Somerset Drive
Urbana, IL
(40.138424, -88.17424)"
1617 Ivanhoe Way	922116454017.00	12/23/2014	Class B	Issued	10/14/2022	"1617 Ivanhoe Way
Urbana, IL
(-88.1878, 40.1013)"
506 Griggs Street	912108377008.00	7/6/2007	Class B	Issued		"506 Griggs Street
Urbana, IL
(-88.2135, 40.1148)"
1804 South Vine Street	932120228017.00	9/13/2017	Class A	Issued	10/14/2022	"1804 South Vine Street
Urbana, IL
(40.095863, -88.20461)"
309 West Springfield Avenue	922117135003.00	6/21/2019	Class B	Issued	10/14/2022	"309 West Springfield Avenue
Urbana, IL
(40.112121582, -88.2114257812)"
1010 South Busey Avenue	932117306005.00	12/6/2019	Class B	Issued	10/14/2022	"1010 South Busey Avenue
Urbana, IL
(40.1038665771, -88.2173309326)"
1303 North Romine Street	912107205019.00	9/20/2011	Class A	Expired	10/14/2022	"1303 North Romine Street
Urbana, IL
(-88.2278, 40.1243)"
701 East Shurts Street	932121356001.00	3/16/2017	Class B	Issued	10/14/2022	"701 East Shurts Street
Urbana, IL
(40.086025238, -88.1991195679)"
104 North Central Avenue	912108384004.00	8/27/2021	Class B	Issued	10/14/2022	"104 North Central Avenue
Urbana, IL
(40.11339, -88.21114)"
604 West California Avenue	922117159012.00	2/7/2019	Class B	Issued	10/14/2022	"604 West California Avenue
Urbana, IL
(40.1085395813, -88.2148132324)"
807 West Oregon Street	922117153002.00	12/3/2018	Class B	Issued	10/14/2022	"807 West Oregon Street
Urbana, IL
(40.10715, -88.21865)"
904 East Delaware Avenue	922116353014.00	2/15/2016	Class B	Issued	10/14/2022	"904 East Delaware Avenue
Urbana, IL
(-88.1974, 40.0994)"
1209 Ellis Drive	912107258002.00	10/28/2011	Class B	Issued		"1209 Ellis Drive
Urbana, IL
(-88.2253, 40.1238)"
612 East Colorado Avenue	932121105006.00	9/27/2017	Class B	Issued	10/14/2022	"612 East Colorado Avenue
Urbana, IL
(40.09497, -88.199585)"
908 South Lincoln Avenue	932117301003.00	5/22/2018	Class B	Temporarily Not a Rental	10/14/2021	"908 South Lincoln Avenue
Urbana, IL
(40.10491, -88.21885)"
511 West California Avenue	922117177001.00	4/30/2019	Class A	Issued	10/14/2022	"511 West California Avenue
Urbana, IL
(40.1080627441, -88.2143249512)"
1311 East Brighton Drive	932121179013.00	3/20/2017	Class C	Issued	10/14/2022	"1311 East Brighton Drive
Urbana, IL
(40.092827, -88.19227)"
1006 East Water Street	912109378002.00	3/16/2012	Class B	Issued	10/14/2022	"1006 East Water Street
Urbana, IL
(-88.1942, 40.1142)"
715 West Michigan Avenue	932117355001.00	11/22/2019	Class B	Issued	10/14/2022	"715 West Michigan Avenue
Urbana, IL
(40.1015510559, -88.217124939)"
605 West California Avenue	922117160007.00	2/20/2019	Class B	Issued	10/14/2022	"605 West California Avenue
Urbana, IL
(40.10804, -88.21513)"
807 East Park Street	912109305004.00	10/5/2021	Class B	Issued	10/14/2022	"807 East Park Street
Urbana, IL
(40.11697, -88.19812)"
903 Kinch Street	922116428013.00	1/28/2015	Class B	Issued	10/14/2022	"903 Kinch Street
Urbana, IL
(-88.1817, 40.1052)"
212 South Cottage Grove Avenue	922116126017.00	6/29/2012	Class B	Issued		"212 South Cottage Grove Avenue
Urbana, IL
(-88.1955, 40.1112)"
1123 Lanore Drive	922116404025.00	7/18/2014	Class B	Issued	10/14/2022	"1123 Lanore Drive
Urbana, IL
(-88.1868, 40.1017)"
902 East Delaware Avenue	922116353013.00	3/2/2016	Class B	Issued		"902 East Delaware Avenue
Urbana, IL
(-88.1976, 40.0994)"
108 East Oregon Street	922117257009.00	12/17/2009	Class B	Issued	10/14/2022	"108 East Oregon Street
Urbana, IL
(-88.2064, 40.1078)"
502 West Green Street Unit 211	922117127033.00	12/22/2008	Class A	Issued	10/14/2022	"502 West Green Street
Urbana, IL
(-88.2134, 40.1107)"
3030 East Stillwater Landing Unit 101	932122406017.00	12/11/2017	Class B	Issued	10/14/2022	"3030 East Stillwater Landing
Urbana, IL
(40.09063, -88.1669)"
401 South Race Street	922117213004.00	7/2/2019	Class B	Issued	10/14/2022	"401 South Race Street
Urbana, IL
(40.109646, -88.209114)"
718 South Broadway Avenue	922117263009.00	9/2/2021	Class B	Issued	10/14/2022	"718 South Broadway Avenue
Urbana, IL
(40.106083, -88.206894)"
504 1/2 East Elm Street	922117229005.00	8/24/2021	Class B	Issued	10/14/2022	"504 1 2 East Elm Street
Urbana, IL
(40.111988, -88.20206)"
3005 Rutherford Drive	912110407053.00	3/12/2015	Class B	Issued	10/14/2022	"3005 Rutherford Drive
Urbana, IL
(-88.1635, 40.1154)"
3044 East Stillwater Landing Unit 104	932122407012.00	11/14/2017	Class A	Issued	10/14/2022	"3044 East Stillwater Landing
Urbana, IL
(40.091091156, -88.1643829346)"
701 East Michigan Avenue	922116351001.00	3/2/2016	Class B	Issued		"701 East Michigan Avenue
Urbana, IL
(-88.1998, 40.1014)"
304 Thompson Street	912108227010.00	8/4/2010	Class A	Issued		"304 Thompson Street
Urbana, IL
(-88.2049, 40.1261)"
1106 Church Street	912107427018.00	12/7/2011	Class C	Issued		"1106 Church Street
Urbana, IL
(-88.2224, 40.1185)"
1119 Austin Drive	922116403011.00	8/12/2014	Class A	Issued	10/14/2022	"1119 Austin Drive
Urbana, IL
(-88.1878, 40.1021)"
812 Church Street	912108302015.00	2/20/2014	Class B	Issued		"812 Church Street
Urbana, IL
(-88.2184, 40.1184)"
802 West Nevada Street	922117153013.00	11/28/2007	Class B	Issued	10/14/2022	"802 West Nevada Street
Urbana, IL
(-88.2181, 40.1067)"
804 Clark Street	912108352011.00	5/17/2011	Class B	Issued	10/14/2022	"804 Clark Street
Urbana, IL
(-88.2179, 40.1157)"
710 West California Avenue	922117155011.00	11/27/2012	Class B	Issued		"710 West California Avenue
Urbana, IL
(-88.2171, 40.1085)"
1604 Rutledge Drive	922116480019.00	1/8/2015	Class B	Expired	10/14/2022	"1604 Rutledge Drive
Urbana, IL
(-88.182, 40.0992)"
1004 East Oregon Street	922116160008.00	7/1/2015	Class B	Issued	10/14/2022	"1004 East Oregon Street
Urbana, IL
(-88.1965, 40.1079)"
505 South Maple Street	922117277009.00	1/7/2020	Class B	Issued	10/14/2022	"505 South Maple Street
Urbana, IL
(40.108788, -88.20274)"
408 East Elm Street	922117228009.00	8/9/2021	Class B	Issued	10/14/2022	"408 East Elm Street
Urbana, IL
(40.111965, -88.202835)"
1208 Beslin Street	912107261009.00	8/4/2011	Class B	Issued	10/14/2022	"1208 Beslin Street
Urbana, IL
(-88.2251, 40.1204)"
1108 South Lincoln Avenue	932117303003.00	12/17/2019	Class C	Issued	10/14/2022	"1108 South Lincoln Avenue
Urbana, IL
(40.1029624939, -88.2188110352)"
1506 Abercorn Street	912115389013.00	2/17/2015	Class B	Issued		"1506 Abercorn Street
Urbana, IL
(-88.1724, 40.1001)"
1403 Laurel Drive	922116378021.00	3/2/2016	Class B	Issued	10/14/2022	"1403 Laurel Drive
Urbana, IL
(-88.1915, 40.1006)"
704 South Cottage Grove Avenue	922116179006.00	6/29/2015	Class B	Issued	10/14/2022	"704 South Cottage Grove Avenue
Urbana, IL
(-88.1952, 40.1073)"
506 Stoughton Street	912108363019.00	4/29/2008	Class B	Issued	10/14/2022	"506 Stoughton Street
Urbana, IL
(-88.214, 40.1131)"
109 North Busey Avenue Unit A	912108355018.00	12/10/2021	Class A	Issued	10/14/2022	"109 North Busey Avenue
Unit A Urbana, IL
(40.1131477356, -88.217956543)"
106 North Smith Road	912110382020.00	1/29/2013	Class A	Issued	10/14/2022	"106 North Smith Road
Urbana, IL
(-88.1784, 40.1137)"
1003 East Burkwood Drive	932121107007.00	9/26/2017	Class B	Issued	10/14/2022	"1003 East Burkwood Drive
Urbana, IL
(40.09657, -88.195564)"
1107 East Willard Street	932121380007.00	3/27/2017	Class B	Issued	10/14/2022	"1107 East Willard Street
Urbana, IL
(40.084064, -88.19461)"
901 West Main Street	912107486007.00	5/12/2009	Class B	Issued		"901 West Main Street
Urbana, IL
(-88.2196, 40.1143)"
806 North Coler Avenue	912108308002.00	3/20/2014	Class C	Expired	10/14/2022	"806 North Coler Avenue
Urbana, IL
(-88.2154, 40.1198)"
1205 East Delaware Avenue	922116381009.00	4/12/2016	Class B	Issued	10/14/2022	"1205 East Delaware Avenue
Urbana, IL
(-88.194, 40.099)"
2506 South Vine Street	932120478016.00	6/10/2013	Class B	Issued		"2506 South Vine Street
Urbana, IL
(-88.2013, 40.0846)"
808 South Webber Street	922116162012.00	7/18/2012	Class B	Issued	10/14/2022	"808 South Webber Street
Urbana, IL
(-88.1987, 40.1062)"
209 Central Avenue	912108380009.00	6/28/2007	Class B	Issued	10/14/2022	"209 Central Avenue
Urbana, IL
(-88.2114, 40.1135)"
203 West Delaware Avenue	932117383009.00	12/30/2019	Class A	Expired	10/14/2021	"203 West Delaware Avenue
Urbana, IL
(40.098846, -88.21003)"
1010 North Broadway Avenue	912108255001.00	9/2/2021	Class B	Issued	10/14/2022	"1010 North Broadway Avenue
Urbana, IL
(40.122627, -88.207306)"
917 North Gregory Street	912107281010.00	12/19/2011	Class B	Expired		"917 North Gregory Street
Urbana, IL
(-88.2214, 40.1214)"
604 South Walnut Street	922117258002.00	11/13/2009	Class B	Expired	10/14/2022	"604 South Walnut Street
Urbana, IL
(-88.206, 40.1081)"
2208 East Rainbow View	912115304032.00	2/22/2018	Class B	Issued	10/14/2022	"2208 East Rainbow View
Urbana, IL
(40.10385, -88.178925)"
1105 East Willard Street	932121380006.00	4/4/2017	Class B	Issued	10/14/2022	"1105 East Willard Street
Urbana, IL
(40.084064, -88.19484)"
1314 East Brighton Drive	932121177022.00	3/10/2017	Class A	Issued	10/14/2022	"1314 East Brighton Drive
Urbana, IL
(40.09329, -88.19229)"
908 North Busey Avenue	912108153018.00	2/21/2012	Class B	Issued		"908 North Busey Avenue
Urbana, IL
(-88.2166, 40.1207)"
709 Springfield Avenue	922117104003.00	10/24/2012	Class B	Issued	10/14/2022	"709 Springfield Avenue
Urbana, IL
(-88.2171, 40.1125)"
912 South Lierman Avenue Unit C	922116402041.00	7/21/2014	Class B	Issued	10/14/2022	"912 South Lierman Avenue
Unit C Urbana, IL
(-88.1887, 40.1056)"
2108 Boudreau Drive	932120403004.00	8/10/2010	Class B	Expired	10/14/2022	"2108 Boudreau Drive
Urbana, IL
(-88.2062, 40.0901)"
712 Ohio Street	932117306017.00	7/29/2009	Class B	Expired	10/14/2022	"712 Ohio Street
Urbana, IL
(-88.217, 40.104)"
207 South Poplar Street	922116126028.00	4/3/2012	Class B	Issued		"207 South Poplar Street
Urbana, IL
(-88.1949, 40.1113)"
611 West Stoughton Street	912108364002.00	12/21/2021	Class C	Issued	10/14/2022	"611 West Stoughton Street
Urbana, IL
(40.112865448, -88.2156066895)"
808 West Iowa Street	932117301005.00	11/27/2007	Class B	Issued		"808 West Iowa Street
Urbana, IL
(-88.2185, 40.1048)"
4 Buena Vista Court	922117110007.00	2/23/2009	Class B	Expired	10/14/2022	"4 Buena Vista Court
Urbana, IL
(-88.2149, 40.1121)"
1010 North Lincoln Avenue	912108151011.00	12/7/2011	Class B	Issued	10/14/2021	"1010 North Lincoln Avenue
Urbana, IL
(-88.2191, 40.1218)"
104 North Lincoln Avenue	912108355020.00	12/7/2021	Class B	Temporarily Not a Rental		"104 North Lincoln Avenue
Urbana, IL
(40.113213, -88.218925)"
2011 South Vawter Street	932121179009.00	3/9/2017	Class B	Temporarily Not a Rental	10/14/2021	"2011 South Vawter Street
Urbana, IL
(40.092625, -88.1921)"
1002 North Broadway Avenue	912108255005.00	12/21/2010	Class B	Issued	10/14/2022	"1002 North Broadway Avenue
Urbana, IL
(-88.2074, 40.1221)"
808 Church Street	912108302017.00	2/6/2014	Class B	Issued	10/14/2022	"808 Church Street
Urbana, IL
(-88.218, 40.1185)"
2207 South Pond Street	932121329012.00	3/1/2017	Class B	Issued	10/14/2022	"2207 South Pond Street
Urbana, IL
(40.08886, -88.19413)"
1603 South Hillside Drive	912115353012.00	1/31/2018	Class A	Issued	10/14/2022	"1603 South Hillside Drive
Urbana, IL
(40.099167, -88.18064)"
208 East California Avenue	922117254009.00	4/4/2007	Class B	Issued		"208 East California Avenue
Urbana, IL
(-88.2055, 40.1087)"
607 East Green Street	922117241005.00	5/24/2012	Class B	Expired	10/14/2022	"607 East Green Street
Urbana, IL
(-88.2005, 40.1106)"
807 North Mathews Avenue	912107406006.00	8/5/2011	Class B	Issued	10/14/2022	"807 North Mathews Avenue
Urbana, IL
(-88.226, 40.1199)"
805 North Coler Avenue	912108305011.00	10/27/2010	Class B	Issued		"805 North Coler Avenue
Urbana, IL
(-88.2161, 40.1196)"
1010 Anderson Street	922116301032.00	9/1/2009	Class B	Issued	10/14/2022	"1010 Anderson Street
Urbana, IL
(-88.1999, 40.1039)"
107 East Mumford Drive	932120254020.00	9/2/2016	Class A	Issued	10/14/2022	"107 East Mumford Drive
Urbana, IL
(-88.207, 40.0936)"
1003 East Water Street	912109379002.00	5/3/2012	Class B	Expired		"1003 East Water Street
Urbana, IL
(-88.1944, 40.1138)"
1003 Crestwood Drive	922116306011.00	2/8/2016	Class A	Issued	10/14/2022	"1003 Crestwood Drive
Urbana, IL
(-88.1963, 40.103)"
903 North Coler Avenue	912108153040.00	2/17/2012	Class B	Issued	10/14/2022	"903 North Coler Avenue
Urbana, IL
(-88.216, 40.1204)"
1009 South Country Squire Drive	922116426019.00	8/8/2014	Class B	Issued	10/14/2022	"1009 South Country Squire Drive
Urbana, IL
(-88.1859, 40.104)"
708 West Illinois Street	922117108009.00	8/20/2007	Class B	Issued	10/14/2022	"708 West Illinois Street
Urbana, IL
(-88.2171, 40.1093)"
307 East Pennsylvania Avenue	932117478003.00	7/15/2021	Class B	Expired	10/14/2021	"307 East Pennsylvania Avenue
Urbana, IL
(40.1004219055, -88.2038879395)"
2103 East Lantern Hill Drive	912115304004.00	2/12/2018	Class B	Issued	10/14/2022	"2103 East Lantern Hill Drive
Urbana, IL
(40.103817, -88.18088)"
805 East High Street	922116110007.00	4/10/2012	Class C	Issued	10/14/2022	"805 East High Street
Urbana, IL
(-88.1987, 40.1098)"
802 East Shurts Street	932121355016.00	4/11/2017	Class B	Issued	10/14/2022	"802 East Shurts Street
Urbana, IL
(40.086464, -88.19832)"
503 West California Avenue	922117177005.00	4/16/2008	Class B	Expired		"503 West California Avenue
Urbana, IL
(-88.2135, 40.1081)"
814 Church Street	912108302014.00	2/7/2014	Class B	Issued	10/14/2022	"814 Church Street
Urbana, IL
(-88.2186, 40.1185)"
1609 East Washington Street	922116402004.00	7/21/2014	Class B	Issued	10/14/2022	"1609 East Washington Street
Urbana, IL
(-88.1875, 40.1054)"
401 West Green Street	922117133005.00	6/13/2008	Class B	Issued	10/14/2022	"401 West Green Street
Urbana, IL
(-88.2119, 40.1104)"
105 Glover Avenue	922116127019.00	6/1/2012	Class B	Issued	10/14/2022	"105 Glover Avenue
Urbana, IL
(-88.1937, 40.1123)"
1410 Beslin Street	912107253008.00	7/12/2011	Class C	Issued		"1410 Beslin Street
Urbana, IL
(-88.2283, 40.1204)"
703 Sunny Lane	912115180027.00	3/26/2015	Class A	Issued	10/14/2022	"703 Sunny Lane
Urbana, IL
(-88.1729, 40.1069)"
707 Hawthorne Drive	922116307004.00	3/11/2016	Class B	Issued	10/14/2022	"707 Hawthorne Drive
Urbana, IL
(-88.1994, 40.1022)"
1002 East Willard Street	932121358005.00	3/29/2017	Class B	Issued	10/14/2022	"1002 East Willard Street
Urbana, IL
(40.0844726562, -88.1961975098)"
803 West Illinois Street	922117151007.00	9/12/2018	Class B	Issued	10/14/2022	"803 West Illinois Street
Urbana, IL
(40.10866, -88.21826)"
1810 South Larch Place	932121107013.00	8/30/2017	Class B	Issued	10/14/2022	"1810 South Larch Place
Urbana, IL
(40.0957794189, -88.1968231201)"
1411 Ogelthorpe Avenue	912115386033.00	3/17/2015	Class B	Issued		"1411 Ogelthorpe Avenue
Urbana, IL
(-88.1751, 40.1011)"
