Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
710 1/2 South Race Street	922117261006.00	6/30/2009	Class B	Expired		"710 1 2 South Race Street
Urbana, IL
(-88.2084, 40.1068)"
904 North Broadway Avenue Unit 108	912108257045.00	2/4/2008	Class B	Issued	10/14/2022	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
707 East Florida Avenue	932121101003.00	9/20/2017	Class C	Issued	10/14/2022	"707 East Florida Avenue
Urbana, IL
(40.0980606079, -88.1988601685)"
1001 Stoughton Street	912107483007.00	12/20/2011	Class B	Issued	10/14/2022	"1001 Stoughton Street
Urbana, IL
(-88.2209, 40.1134)"
910 East Water Street	912109354005.00	3/6/2012	Class B	Issued	10/14/2022	"910 East Water Street
Urbana, IL
(-88.1969, 40.1142)"
1108 Church Street	912107427017.00	11/3/2011	Class B	Issued		"1108 Church Street
Urbana, IL
(-88.2226, 40.1185)"
605 South Webber Street	922116156008.00	5/3/2012	Class B	Issued	10/14/2022	"605 South Webber Street
Urbana, IL
(-88.1993, 40.108)"
1306 East Mitchem Drive	932121179003.00	3/20/2017	Class B	Issued	10/14/2022	"1306 East Mitchem Drive
Urbana, IL
(40.0925, -88.19248)"
801 West Nevada Street	922117154006.00	11/7/2012	Class B	Issued	10/14/2021	"801 West Nevada Street
Urbana, IL
(-88.2179, 40.1062)"
401 Johnson Avenue	922116111015.00	6/6/2012	Class B	Issued		"401 Johnson Avenue
Urbana, IL
(-88.1968, 40.1096)"
908 North Gregory Street	912107282012.00	12/13/2011	Class B	Expired		"908 North Gregory Street
Urbana, IL
(-88.2208, 40.1207)"
904 North Broadway Avenue Unit 7	912108257020.00	2/8/2008	Class B	Issued		"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
809 Springfield Avenue	922117101007.00	7/24/2012	Class B	Expired	10/14/2022	"809 Springfield Avenue
Urbana, IL
(-88.2186, 40.1125)"
610 West Iowa Street	932117305027.00	1/3/2008	Class A	Issued		"610 West Iowa Street
Urbana, IL
(-88.2155, 40.1049)"
806 Stoughton Street	912108354016.00	8/12/2010	Class C	Issued		"806 Stoughton Street
Urbana, IL
(-88.2183, 40.1137)"
305 West Park Street	912108329001.00	6/20/2008	Class B	Expired	10/14/2022	"305 West Park Street
Urbana, IL
(-88.2105, 40.1172)"
1108 South Kinch Street	912115304003.00	4/5/2018	Class B	Issued	10/14/2022	"1108 South Kinch Street
Urbana, IL
(40.1034126282, -88.1811294556)"
707 North Lincoln Avenue	912107429016.00	11/15/2011	Class B	Issued	10/14/2022	"707 North Lincoln Avenue
Urbana, IL
(-88.2197, 40.1189)"
703 Western Avenue	922117105004.00	8/14/2007	Class B	Expired	10/14/2022	"703 Western Avenue
Urbana, IL
(-88.2169, 40.1122)"
1204 East Mumford Drive	932121326008.00	6/3/2013	Class B	Expired	10/14/2022	"1204 East Mumford Drive
Urbana, IL
(-88.1933, 40.0909)"
1304 South Vine Street	932117476001.00	5/27/2016	Class D	Issued	10/14/2022	"1304 South Vine Street
Urbana, IL
(-88.2046, 40.1015)"
306 South Orchard Street	922117128007.00	6/2/2008	Class B	Issued	10/14/2022	"306 South Orchard Street
Urbana, IL
(-88.2145, 40.1103)"
402 East Kerr Avenue	912108277022.00	10/27/2021	Class A	Issued	10/14/2022	"402 East Kerr Avenue
Urbana, IL
(40.122375, -88.20377)"
504 West Illinois Street	922117129012.00	6/12/2008	Class B	Under Review		"504 West Illinois Street
Urbana, IL
(-88.2136, 40.1093)"
401 South Webber Street	922116107004.00	6/12/2015	Class B	Issued	10/14/2022	"401 South Webber Street
Urbana, IL
(-88.1994, 40.1099)"
107 South Birch Street	922117131012.00	1/17/2020	Class B	Issued	10/14/2022	"107 South Birch Street
Urbana, IL
(40.111862, -88.211975)"
506 West Iowa Street	932117326017.00	5/31/2019	Class A	Issued	10/14/2022	"506 West Iowa Street
Urbana, IL
(40.104908, -88.21349)"
2501 Prairie Green Drive	912115326008.00	8/9/2018	Class B	Issued	10/14/2022	"2501 Prairie Green Drive
Urbana, IL
(40.1048965454, -88.1729736328)"
2212 Easy Street	912115301009.00	5/5/2015	Class B	Issued	10/14/2022	"2212 Easy Street
Urbana, IL
(-88.179, 40.1046)"
206 West Nevada Street	922117259005.00	6/4/2019	Class B	Issued	10/14/2022	"206 West Nevada Street
Urbana, IL
(40.106873, -88.209496)"
